Optimizer Round,$y_{gt}$,$y_{predict}$
1,6.025895543901968,5.725042684190937
2,6.43047555949714,6.441438600958374
3,6.43047555949714,6.441438600958374
4,6.137355435763235,6.47157229287572
5,6.567615957348626,6.47157229287572
6,6.88010072492003,6.609104018174221
7,6.109516613262842,6.663661371808319
8,5.633621779877812,6.663661371808319
9,6.8668477845781855,6.749582183856303
10,6.846362088647016,6.749582183856303
final,6.88010072492003,6.609104018174221
best $y_{gt}^1$,7.654267017219239,5.5984584170224645
best $y_{gt}^2$,7.10379092918175,6.086970264225225
best $y_{gt}^3$,6.939032876101684,6.316103218878405
best $y_{predict}^1$,6.8668477845781855,6.749582183856303
best $y_{predict}^2$,6.846362088647016,6.749582183856303
best $y_{predict}^3$,6.109516613262842,6.663661371808319
