Optimizer Round,Rounds,Avg $House^{size}\uparrow$,Var $House^{size}\downarrow$,Rop $\downarrow$,Avg WT $\downarrow$,gini coefficient $\downarrow$,SW $\uparrow$,ex_name,finished_replace
,,16.043333333333333,275.7146069716776,511.0,,0.4603545472521175,485.9,optimal_utility,True
1.0,10.0,13.337500000000002,209.537329003268,298.0,2.8823529411764706,0.4849793128260479,425.1,optimized_task_config_65,True
2.0,10.0,12.196405228758172,200.5613417617156,278.0,3.07843137254902,0.5083836351441986,397.6,optimized_task_config_66,True
3.0,8.0,12.540784313725489,202.6817041506472,233.0,5.921568627450981,0.4833222005883775,413.9,optimized_task_config_67,True
4.0,10.0,13.093366013071895,195.9860089858601,299.0,3.1372549019607843,0.4863113320445549,426.0,optimized_task_config_68,True
5.0,10.0,11.911388888888888,184.3243333787219,257.0,3.431372549019608,0.5083107199433348,409.7000000000001,optimized_task_config_69,True
6.0,9.0,12.86063725490196,198.7197148036012,267.0,2.823529411764706,0.4812203314549038,423.8,optimized_task_config_70,True
7.0,10.0,12.65390522875817,180.04439483905762,286.0,3.411764705882353,0.5059399813888454,415.1,optimized_task_config_74,True
8.0,9.0,13.104477124183008,203.7420987462088,273.0,1.6666666666666667,0.4920360829606144,415.6,optimized_task_config_75,True
9.0,10.0,12.055506535947712,184.30768189211412,281.0,3.07843137254902,0.5094121564709799,400.4,optimized_task_config_76,True
10.0,7.0,18.90419047619048,174.84744255895694,111.0,1.7142857142857142,0.2548633291866993,424.9,optimized_task_config_77,True
11.0,10.0,12.761290849673202,192.0679900139904,315.0,3.1372549019607843,0.5030734329257387,416.6,optimized_task_config_78,True
12.0,10.0,13.406830065359475,218.92525699944457,334.0,2.9411764705882355,0.5036164526124081,414.5,optimized_task_config_79,True
13.0,10.0,13.064232026143792,195.6944866242684,313.0,3.333333333333333,0.4828129927467676,422.8,optimized_task_config_80,True
14.0,10.0,12.306830065359478,180.97651309966247,288.0,3.901960784313725,0.5017838425218053,407.8,optimized_task_config_81,True
15.0,8.0,12.772042483660131,186.92501305320604,255.0,2.372549019607843,0.4879141708302279,426.2,optimized_task_config_82,True
16.0,7.0,15.67329365079365,203.28963511747293,189.0,2.333333333333333,0.3702621622226699,425.4,optimized_task_config_83,True
final,7.0,18.90419047619048,174.84744255895694,111.0,1.7142857142857142,0.2548633291866993,424.9,optimized_task_config_77,True
best gt y:1,8.0,12.540784313725489,202.6817041506472,233.0,5.921568627450981,0.4833222005883775,413.9,optimized_task_config_67,True
best gt y:2,2.0,27.97652777777777,141.97207000385805,3.0,1.5,0.0488936473947181,93.4,optimized_task_config_53,True
best gt y:3,7.5000$\pm$1.5000,13.7763$\pm$0.1591,219.9030$\pm$1.5084,330.5000$\pm$2.5000,3.0588$\pm$0.1961,0.4885$\pm$0.0038,423.9000$\pm$7.3000,ver2_nofilter_multilist(1.5_k1)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,True
