Rounds,Family Grouping,House Allocation,Avg $House^{size}\uparrow$,Var $House^{size}\downarrow$,Rop $\downarrow$,mean WT $\downarrow$,gini coefficient $\downarrow$,social welfare $\uparrow$,ex_name,finished_replace
10.0000$\pm$0.0000,Self-selection,Random,2.5250$\pm$0.8061,55.6713$\pm$18.6458,73.5000$\pm$24.5000,6.0588$\pm$0.2549,0.8925$\pm$0.0362,83.7500$\pm$32.0500,ver2_nofilter_multilist(1.2_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#random_avg,True
9.0000$\pm$1.0000,Self-selection,By $House^{label}$,13.8133$\pm$0.4231,229.1306$\pm$22.7572,327.0000$\pm$26.0000,3.0588$\pm$0.5098,0.4891$\pm$0.0006,419.8500$\pm$0.3500,ver2_nofilter_multilist(1.2_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose2,True
10.0000$\pm$0.0000,Self-selection,By $House^{rent}$,7.1282$\pm$0.0945,141.4217$\pm$3.2420,185.0000$\pm$7.0000,4.7647$\pm$0.0000,0.7050$\pm$0.0011,244.5500$\pm$3.3500,ver2_nofilter_multilist(1.2_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#portion_rentmoney,True
9.0000$\pm$0.0000,Self-selection,By $House^{size}$,7.1577$\pm$0.0790,138.6608$\pm$7.4683,191.0000$\pm$2.0000,4.7745$\pm$0.0490,0.7065$\pm$0.0008,243.2500$\pm$6.5500,ver2_nofilter_multilist(1.2_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#portion_housesize,True
10.0000$\pm$0.0000,By $R^{label}$,Random,6.9212$\pm$1.6531,215.5981$\pm$32.7551,289.5000$\pm$45.5000,5.6275$\pm$0.3725,0.8136$\pm$0.0601,154.8000$\pm$52.6000,ver1_nofilter_multilist(1.2)_multilist_priority_8t_6h_p#random_avg,True
7.0000$\pm$0.0000,By $R^{label}$,By $House^{label}$,15.0893$\pm$0.4435,268.1625$\pm$6.5612,414.5000$\pm$16.5000,3.5686$\pm$0.0784,0.5131$\pm$0.0121,403.7500$\pm$8.3500,ver1_nofilter_multilist(1.2)_multilist_priority_8t_6h_p#housetype,True
10.0000$\pm$0.0000,By $R^{label}$,By $House^{rent}$,7.1430$\pm$0.1340,160.3916$\pm$0.1601,205.0000$\pm$9.0000,5.1373$\pm$0.0392,0.7338$\pm$0.0105,210.2000$\pm$10.8000,ver1_nofilter_multilist(1.2)_multilist_priority_8t_6h_p#portion_rentmoney,True
9.0000$\pm$0.0000,By $R^{label}$,By $House^{size}$,6.3599$\pm$0.9804,164.3237$\pm$7.6080,230.5000$\pm$10.5000,5.5784$\pm$0.2451,0.7870$\pm$0.0454,173.0000$\pm$35.7000,ver1_nofilter_multilist(1.2)_multilist_priority_8t_6h_p#portion_housesize,True
10.0000$\pm$0.0000,By $R^{\text{family size}}$,Random,10.8240$\pm$0.0859,226.7425$\pm$8.0909,366.5000$\pm$19.5000,4.6373$\pm$0.0490,0.6226$\pm$0.0060,313.1500$\pm$5.6500,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#random_avg,True
10.0000$\pm$0.0000,By $R^{\text{family size}}$,By $House^{rent}$,11.4706$\pm$0.0114,159.3444$\pm$0.4517,251.5000$\pm$1.5000,3.5882$\pm$0.0196,0.5052$\pm$0.0037,410.0000$\pm$3.3000,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#portion_rent_money,True
10.0000$\pm$0.0000,By $R^{\text{family size}}$,By $House^{size}$,11.6821$\pm$0.3039,159.9076$\pm$9.4210,254.5000$\pm$23.5000,3.7549$\pm$0.1078,0.5084$\pm$0.0033,410.4000$\pm$2.8000,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#portion_housesize,True
10.0000$\pm$0.0000,By $R^{\text{rent budget}}$,Random,10.0204$\pm$0.0499,185.2973$\pm$15.6499,300.0000$\pm$10.0000,4.3922$\pm$0.0784,0.6128$\pm$0.0125,313.2500$\pm$11.1500,ver1_nofilter_multilist(1.2)_portion3(f_rent_money_budget)_priority_8t_6h_p#random_avg,True
10.0000$\pm$0.0000,By $R^{\text{rent budget}}$,By $House^{rent}$,11.3036$\pm$0.1882,163.7494$\pm$7.4002,246.5000$\pm$4.5000,3.8627$\pm$0.0392,0.5214$\pm$0.0019,402.7000$\pm$1.4000,ver1_nofilter_multilist(1.2)_portion3(f_rent_money_budget)_priority_8t_6h_p#portion_rent_money,True
10.0000$\pm$0.0000,By $R^{\text{rent budget}}$,By $House^{size}$,11.9901$\pm$0.2215,195.1307$\pm$8.9517,276.0000$\pm$31.0000,3.9020$\pm$0.1373,0.5184$\pm$0.0015,389.8000$\pm$0.8000,ver1_nofilter_multilist(1.2)_portion3(f_rent_money_budget)_priority_8t_6h_p#portion_housesize,True
