$\pi$,Avg $House^{size}\uparrow$,Var $House^{size}\downarrow$,Rop $\downarrow$,Avg WT $\downarrow$,gini coefficient $\downarrow$,SW $\uparrow$,ex_name,$y_{gt}$,$y_{predict}$
$\pi_{KM}$,,,,,,,optimal_utility,,
$\pi_{optimized}$,,,,,,,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,8.533319196649721,8.518781599023843
$\pi y_{gt}^1$,,,,,,,ver2_nofilter_multilist(2.1_k4)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,8.359856416044112,8.337355300744706
$\pi y_{gt}^2$,,,,,,,ver2_nofilter_multilist(2.4_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,8.299185633863727,8.17537103354486
$\pi y_{gt}^3$,,,,,,,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,8.172267763223628,8.126797730357305
$\pi y_{gt}^4$,,,,,,,ver2_nofilter_multilist(1.2_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,7.735134303238838,7.623713880244593
$\pi y_{gt}^5$,,,,,,,ver2_nofilter_multilist(1.2_k2)_housetype_housing_points_8t_6h(step_num(t1_h1))_p#housetype_choose2,7.611745291438174,7.542361581075327
$\pi y_{gt}^6$,,,,,,,ver2_nofilter_multilist(1.2_k2)_housetype_housing_points_8t_6h(step_num(t1_h1))_p#housetype_choose2,7.611745291438174,7.542361581075327
$\pi y_{gt}^7$,,,,,,,ver2_nofilter_multilist(2.1_k1)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose1,7.512072047102268,7.564306058338416
$\pi y_{gt}^8$,,,,,,,ver2_nofilter_multilist(1.2_k2)_housetype_housing_points_8t_6h(step_num(t1_h1))_p#housetype_choose2,7.611745291438174,7.542361581075327
$\pi y_{gt}^9$,,,,,,,ver2_nofilter_multilist(2.1_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,6.9263756441348665,7.564362126541567
$\pi y_{gt}^10$,,,,,,,ver1_nofilter_singlelist_5t_1h_p#singlelist,6.274611276763287,6.533915156809739
$\pi y_{predict}^1$,,,,,,,ver2_nofilter_multilist(2.1_k4)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,8.359856416044112,8.337355300744706
$\pi y_{predict}^2$,,,,,,,ver2_nofilter_multilist(2.4_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,8.299185633863727,8.17537103354486
$\pi y_{predict}^3$,,,,,,,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,8.172267763223628,8.126797730357305
$\pi y_{predict}^4$,,,,,,,ver2_nofilter_multilist(1.2_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,7.735134303238838,7.623713880244593
$\pi y_{predict}^5$,,,,,,,ver2_nofilter_multilist(2.1_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,6.9263756441348665,7.564362126541567
$\pi y_{predict}^6$,,,,,,,ver2_nofilter_multilist(2.1_k1)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose1,7.512072047102268,7.564306058338416
$\pi y_{predict}^7$,,,,,,,ver2_nofilter_multilist(1.2_k2)_housetype_housing_points_8t_6h(step_num(t1_h1))_p#housetype_choose2,7.611745291438174,7.542361581075327
$\pi y_{predict}^8$,,,,,,,ver2_nofilter_multilist(1.2_k2)_housetype_housing_points_8t_6h(step_num(t1_h1))_p#housetype_choose2,7.611745291438174,7.542361581075327
$\pi y_{predict}^9$,,,,,,,ver2_nofilter_multilist(1.2_k2)_housetype_housing_points_8t_6h(step_num(t1_h1))_p#housetype_choose2,7.611745291438174,7.542361581075327
$\pi y_{predict}^10$,,,,,,,ver2_nofilter_multilist(1.5_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose2,6.743320893472768,7.37226163053036
